company_id,company_name
1,Alexander Black Photoplays
2,J. and N. Tait
3,Fotorama
4,Helen Gardner Picture Players
5,Milano Film
6,Kalem Company
7,Projektions-AG Union (PAGU)
8,Società Italiana Cines
9,Societatea Filmului de Arta Leon Popescu
10,Le Film d'Art
11,Nordisk Film
12,Société des Etablissements L. Gaumont
13,Svenska Biografteatern AB
14,Film Artistica Gloria
15,Belge Cinéma Film
16,Majestic Motion Picture Company
17,Deutsche Bioscop GmbH
18,Independent Moving Pictures Co. of America (IMP)
19,Società Anonima Ambrosio
20,Caesar Film
21,New York Motion Picture
22,Itala Film
23,Famous Players Film Company
24,Vitagraph Company of America
25,Dansk Biograf Compagni
26,The Oz Film Manufacturing Company
27,Hobart Bosworth Productions
28,Seattle Film Co.
29,Biograph Company
30,Pathé Frères
31,Jesse L. Lasky Feature Play Company
32,Keystone Film Company
33,ProJa Filmgyár
34,World Film
35,Shubert Film Corporation
36,Peerless Productions
37,Nonpareil Feature Film Corp.
38,David W. Griffith Corp.
39,Kay-Bee Pictures
40,Fox Film Corporation
41,Fine Arts Film Company
42,Khanzhonkov
43,Williamson Submarine Film Corporation
44,Thomas H. Ince Corporation
45,Triangle Film Corporation
46,
47,The Essanay Film Manufacturing Company
48,Universal Film Manufacturing Company
49,Lois Weber Productions
50,Paragon Films
51,Paramount Pictures
52,Mary Pickford Company
53,Films de France
54,Douglas Fairbanks Pictures
55,Yermoliev
56,Artcraft Pictures Corporation
57,Hyclass Producing Company
58,Oliver Morosco Photoplay Company
59,Corvin Film
60,Norma Talmadge Film Corporation
61,D.W. Griffith Productions
62,Pickford Film
63,Maxwell Productions (I)
64,Mabel Normand Feature Film Company
65,Select Pictures Corporation
66,Charles Chaplin Productions
67,National Film Corporation of America
68,Perfection Pictures
69,Famous Players-Lasky Corporation
70,Richard-Oswald-Produktion
71,First National Pictures
72,Azteca Films
73,Canadian Photoplays Ltd.
74,Harry Garson Productions
75,Marion Davies Film Corporation
76,Decla-Bioscop AG
77,Mayflower Photoplay Company
78,Southern Cross Feature Film Company
79,Maurice Tourneur Productions
80,William S. Hart Productions
81,Mack Sennett Comedies
82,Deutsche Lichtbild-Gesellschaft e.V. (DLG)
83,Messters Projektion GmbH
84,International et Commercial de la Cinématographie (Thalman)
85,Svensk Filmindustri (SF)
86,Selznick Pictures Corporation
87,Goron Film
88,Kessel & Baumann
89,Gaumont Série Pax
90,Cosmopolitan Productions
91,King W. Vidor Productions
92,Constance Talmadge Film Company
93,Christiana Film
94,James Oliver Curwood Productions Inc.
95,Ebner & Co.
96,Metro Pictures Corporation
97,J. Parker Read Jr. Productions
98,Decla-Film-Gesellschaft Holz & Co.
99,Ilag-Film
100,May-Film
101,Micheaux Book & Film Company
102,Goldwyn Pictures Corporation
103,Great Western Producing Company
104,Max Linder Productions
105,Nazimova Productions
106,Realart Pictures Corporation
107,Art-Film GmbH
108,Gloria-Film GmbH
109,Jackie Coogan Productions
110,Shôchiku Kinema Kenkyujo
111,Hal Roach Studios
112,Rex-Film GmbH
113,Uco-Film GmbH
114,Cathrine Curtis Corporation
115,Inspiration Pictures
116,Deulig Film
117,Films A. Legrand
118,Sophus Madsen Film
119,Whaling Film Corp.
120,Irving Cummings Productions
121,Primus-Film GmbH
122,Sleepy Hollow Corporation
123,Houdini Picture Corporation
124,Universal Pictures
125,Bavaria Film
126,Jofa-Atelier Berlin-Johannisthal
127,Wörner-Filmgesellschaft
128,Pan-Film
129,B.P. Schulberg Productions
130,Sascha-Film
131,Technicolor
132,Master Films
133,Ernst Lubitsch-Film
134,Comedia-Film GmbH
135,Pathé Consortium Cinéma
136,Joseph M. Schenck Productions
137,Leonardo-Film
138,Films Abel Gance
139,Carl Froelich-Film GmbH (I)
140,Stern-Film
141,Buster Keaton Productions
142,Neptune-Film A.G.
143,Mezhrabpom-Rus
144,Warner Bros.
145,Frank Lloyd Productions
146,Sol Lesser Productions
147,Alaska Moving Picture Corp.
148,Marshall Neilan Productions
149,Les Films Jean Renoir
150,Universum Film (UFA)
151,The Harold Lloyd Corporation
152,Metro-Goldwyn-Mayer (MGM)
153,Cinégraphic
154,Films Albatros
155,Goskino
156,Berolina Film GmbH
157,Films Diamant
158,Metro-Goldwyn Pictures Corporation
159,1-ya Goskino Fabrika
160,"Balcon, Freedman & Saville"
161,Comenius-Film GmbH
162,Micheaux Film
163,Cinema Corporation of America
164,Ritz-Carlton Pictures
165,Elton Corporation
166,Palladium Film
167,Art Finance Corporation
168,Films René Fernand
169,Sofar-Film
170,Kansai Education Division
171,Victoria Film
172,Film Andes S.A.
173,An Erich von Stroheim Production
174,Bando Tsumasaburo Production
175,Bombay Talkies Films
176,Mrs. Wallace Reid Productions
177,DeMille Pictures Corporation
178,Academy Photoplays
179,A to X Productions
180,H. K. Breslauer-Film
181,The Samuel Goldwyn Company
182,Mundus-Film
183,Georges Loureau
184,Chadwick Pictures Corporation
185,Ryan Brothers Productions
186,Roland West Productions
187,John McCormick Productions
188,Neumann-Filmproduktion
189,Lew Seiler Productions
190,Berg- und Sportfilm
191,Kinugasa Productions
192,Gainsborough Pictures
193,Fert Studios
194,Dallas M. Fitzgerald Productions
195,Armenkino
196,British National Films
197,Leningradkino
198,Feature Productions
199,Pickford Corporation
200,Harry Langdon Corporation
201,Sokal-Film GmbH
202,Ama-Film GmbH
203,Sovkino
204,Ciné-Alliance
205,Paramount Famous Lasky Corporation
206,Films Jean Epstein
207,Vostokfilm
208,Gaumont British Picture Corporation
209,Société des Films Historiques
210,The Harold Lloyd Corporation (II)
211,Gloria Swanson Pictures
212,Ciné France
213,British International Pictures (BIP)
214,Colored Players Film Corporation
215,Frank Borzage Production
216,British Instructional Films (BIF)
217,Vseukrainske Foto Kino Upravlinnia (VUFKU)
218,Robertson-Cole Pictures Corporation
219,The Caddo Company
220,Terra-Filmkunst
221,Minxin Film Company
222,Deutsche Universal-Film
223,Nero-Film AG
224,Mezhrabpomfilm
225,Georgian-Film
226,Essem-Film GmbH
227,Kinugasa Eiga Renmei
228,La Société des Films Charles Dullin
229,Columbia Pictures
230,Société générale des films
231,Pro Patria Films
232,Fritz Lang-Film
233,Pierre Braunberger
234,Mosfilm
235,Florián Rey-Pedro Larrañaga
236,Société des Cinéromans
237,Pathé Exchange
238,Lutèce Films
239,Shochiku Kinema (Kamata)
240,Gem-Film
241,Edwin Carewe Productions
242,Elisabeth Bergner Poetic Film Co.
243,C.B. DeMille Productions
244,James Cruze Productions
245,RKO Radio Pictures
246,Super-Film GmbH
247,Lunde Film
248,George Fitzmaurice Productions
249,Film Studio 1929
250,"Grands Films Européens, Les"
251,Prometheus-Film-Verleih und Vertriebs-GmbH
252,Rowland V. Lee Productions
253,S.A.C.I.A.
254,Burden-Chanler Productions
255,Karl Valentin Filmproduktion
256,Pabst-Film
257,Gendai Eigasha
258,Gloria Productions
259,Compagnie Universelle Cinématographique (CUC)
260,Shochiku Kamata
261,Pool Films
262,Christie Film Company
263,F.W. Murnau Production
264,Les Films Marcel Vandal et Charles Delac
265,Howard Productions (II)
266,Tiffany Productions
267,Victor Halperin Productions
268,Pathé-Natan
269,Wladyslaw Starewicz Production
270,Vicomte de Noailles
271,Shochiku
272,Films Sonores Tobis
273,Imperial Movietone
274,Metropolitan Studios
275,John Ford Productions
276,Allianz Tonfilm GmbH
277,RKO Pathé Pictures
278,Les Établissements Braunberger-Richebé
279,Action Pictures
280,Fifra
281,Art Cinema Corporation
282,Tobis Filmkunst
283,L'Écran d'Art
284,Mascot Pictures
285,Kovács Emil és Társa
286,Sam Taylor Productions
287,Cinédia
288,Les Films Marcel Pagnol
289,Deutsche Film-Gemeinschaft
290,Resco-Filmproduktion
291,Nikkatsu
292,Soyuzkino
293,Supreme Feature Films Company
294,Compañía Nacional Productora de Películas
295,Julius Hagen Productions
296,Herbert Wilcox Productions
297,Aafa-Film AG
298,Murnau-Flaherty Productions
299,Shochiku Kinema
300,Deutsches Lichtspiel-Syndikat
301,J.D. Williams
302,Leon Schlesinger Studios
303,Leni Riefenstahl-Produktion
304,Les Établissements Jacques Haïk
305,E.W. Hammons Production
306,Elektafilm
307,Pathé-Cinéma
308,B.F. Zeidman Productions Ltd.
309,Ukrainfilm
310,Chesterfield Motion Pictures Corporation (I)
311,K.B.S. Productions Inc.
312,Remington Pictures
313,Les Films Osso
314,George W. Weeks Productions
315,Merian C. Cooper and Ernest Schoedsack
316,Elton Productions
317,Burton King Productions
318,Europa Films
319,Emory Johnson Productions
320,Tower Productions (III)
321,Monarch Film Corporation
322,Paramount British Pictures
323,Associated Talking Pictures (ATP)
324,Willis Kent Productions
325,I.E. Chadwick Productions
326,J.G. Bachmann Productions
327,Ralph M. Like Productions
328,M.H. Hoffman Inc.
329,ASUM
330,Victor & Edward Halperin Productions
331,Societa Anonima Stefano Pittaluga
332,Morris Shiller Productions
333,20th Century Pictures
334,Tobis Portuguesa
335,Interamericana Films
336,William Berke Productions Inc.
337,Nelson Film
338,John Krimsky and Gifford Cochran Inc.
339,Real Art Productions
340,Lewis Milestone Productions
341,Volksdeutsche Film
342,Eddie Dowling Pictures
343,Screencraft Productions
344,Edward Small Productions
345,Expeditionary Films
346,Elite-Tonfilm-Produktion GmbH
347,Eco Films
348,Photosonor
349,Bryan Foy Productions
350,Gloria Swanson British Productions
351,W.T. Lackey Productions
352,London Film Productions
353,Paul Malvern Productions
354,Larry Darmour Productions
355,Serge Otzoup-Filmproduktion der Tobis-Sascha
356,Trem Carr Pictures
357,Irie Production
358,The Mexican Film Trust
359,Jefferson Pictures Corporation
360,Amato Film
361,Argui-Film
362,Lenfilm Studio
363,Reliance Rroductions
364,Hecht-MacArthur Productions
365,Phoenix Films (II)
366,Proa Films
367,Far East Productions Inc.
368,Producciones FESA (Films Exchange)
369,Radio Pictures (II)
370,Invincible Pictures Corp.
371,Ichtys Film
372,Meissner Film Prague
373,Monogram Pictures
374,Société Parisienne de Production (SOPRA)
375,Lone Star Productions
376,Scienart Pictures
377,Les Productions Fox Europa
378,Nouvelle Société des Films (NSF)
379,Roadshow Attractions
380,Société Nouvelle de Cinématographie (SNC)
381,Sascha-Verleih
382,Compagnie Nouvelle Commerciale
383,All Star Productions
384,Eurindia Films
385,Viking Productions
386,Belgoskino
387,Walter Wanger Productions
388,Wyndham Productions
389,Novella Film
390,Cicero Film
391,Warner Brothers-First National Productions
392,Compañía Industrial Film Español S.A. (CIFESA)
393,Moskinokombinat
394,Les Films H. Roussillon
395,Gosudarstvennoe Upravlenie Kinematografii i fotografii (GUKF)
396,Ipek Film
397,Pioneer Pictures Corporation
398,Pinnacle Productions
399,Super Serial Productions Inc.
400,Eden Productions
401,Exito Productions
402,Harry Sherman Productions
403,British & Dominions Film Corporation
404,Emanuel Cohen Productions
405,Daiichi Eiga
406,Twentieth Century Fox
407,Reliance Productions
408,Compagnie du Cinema
409,Daiichi
410,Cine-Allianz Tonfilmproduktions GmbH
411,Films Marcel Pagnol
412,Reliable Pictures Corporation (I)
413,Fribergs Filmbyrå AB
414,Cameo Pictures
415,George King Productions
416,Hammer Films
417,Burroughs-Tarzan Enterprises Inc.
418,Fox Film Company
419,P.C.L. Eiga Seisaku-jo
420,Productions Arys
421,Ray Kirkwood Productions
422,Merican C. Cooper Productions
423,Liberty Pictures
424,C.C. Burr Productions Inc.
425,Sony PCL
426,Republic Pictures (I)
427,Green-Film
428,Cinematografica Latino Americana S.A. (C.L.A.S.A.)
429,Sigmund Neufeld Productions
430,Antonio Díaz Lombardo
431,Garrett-Klement Pictures
432,Inter-Allied
433,Ciné-Arys
434,Radio Pictures
435,George A. Hirliman Productions
436,Films Obéron
437,Weiss Productions
438,Productions Corniglion-Molinier
439,Universal Pictures Corporation
440,Pallas Film (II)
441,Jay-Dee-Kay Productions
442,Selznick International Pictures
443,Pickford-Lasky
444,Excelsior Pictures
445,AB
446,Zion Meyers Productions
447,Les Réalisations d'Art Cinématographique
448,Luis Trenker-Film
449,Will Tuschinski-Cinetone
450,Allianz Film
451,Films Romain Pinès
452,J H Productions
453,Nero Films
454,Reflektor Film
455,Cinéas
456,Société des Films Roger Richebé
457,Mercury Pictures Corporation
458,Darryl F. Zanuck Productions
459,Prabhat Films
460,Victory Pictures Corporation
461,Boots and Saddles Pictures
